0,NUMBER,Quest. A1,Quest. A1 bis,A2,A3,A4,A5,A5 bis,A6,A7,A8,A9,B1,B1 bis,B2,B3,B3 bis,B4,B4 bis,B5,B5 bis,C1,C1 bis,C2,C2 bis,C3,C3 bis,C4,COMMENTS(C4)
1,Q1,1,Italy,1,3,8,11,19,3,2,1,1,2.0-3.0-6.0,0,4,1,10,1.0-2.0-3.0-5.0,0,2.0-3.0,0,3.0-4.0,meeting with scientists,5,0,4,more opportunity for young scientists to share work and experience with school,1,serc carleton nasa
2,Q2,1,Italy,2,2,8,11,19,2,2,1,1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-2.0-5.0,0,1.0-2.0-4.0,0,2.0-3.0-5.0-6.0,0,1.0-2.0-3.0-4.0-5.0- 6.0,0,1.0-2.0-3.0-4.0,0,2,but i like...
3,Q3,1,Italy,1,3,8,11,19,2,2,0,1,1.0-2.0-4.0-5.0-7.0,0,4,2,0,1.0-2.0,0,1.0-2.0,0,3.0-6.0,0,3.0-4.0-5.0,0,0,0,2,0
4,Q4,1,Italy,1,3,8,11,19,2,2,0,1,1.0-2.0-3.0-4.0-7.0,0,1,2,0,1,0,1.0-2.0-3.0,0,3.0-5.0-6.0,0,1.0-3.0,0,1,0,2,0
5,Q5,1,Italy,1,3,8,11,19,2,1,0,1,1.0-2.0-3.0-4.0-6.0-7.0,0,4,2,0,1.0-2.0-4.0,0,1.0-2.0,0,3.0-5.0-6.0,0,1.0-2.0-5.0,0,3.0-4.0,0,0,0
6,Q6,1,Italy,1,3,8,11,19,3,1,0,1,1.0-2.0-4.0-7.0,0,4,2,0,1.0,0,1,0,2.0-3.0,0,1.0-2.0,0,1,0,0,0
7,Q7,1,Italy,1,2,8,11,19,2,1,0,1,1.0-2.0-4.0-7.0,0,4,2,0,1.0-3.0-5.0,0,1.0-2.0,0,3.0-5.0-6.0,0,2,0,2.0-3.0,0,1,youtube
8,Q8,1,Italy,1,2,8,11,19,2,1,0,1,1.0-2.0-4.0-7.0,0,4,2,0,1.0-3.0-5.0,0,1.0-2.0,0,3.0-5.0-6.0,0,2,0,2.0-3.0,0,1,youtube
9,Q9,1,Italy,1,3,8,11,19,1,1,3 .0-4.0,1,1.0-2.0-4.0-7.0,0,1,2,0,1.0-2.0,0,1.0-2.0,0,2.0-3.0,0,1.0-2.0-3.0-4.0,0,3.0-4.0,0,1,internet youtube
10,Q10,1,Italy,1,3,8,11,19,1,2,0,1,1.0-2.0-4.0-5.0-7.0,0,4,2,0,1.0-2.0,0,1.0-2.0,0,3.0-5.0,0,3.0-4.0-5.0,0,0,0,2,0
11,Q11,1,Italy,2,2,8,11,19,2,2,1,1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-2.0,0,1.0-4.0,0,2.0-3.0-5.0-6.0,0,1.0-2.0-3.0-4.0-5.0,0,1.0-3.0-4.0,0,2,0
12,Q12,1,Italy,1,3,8,11,19,2,1,1,1,1.0-2.0-3.0-4.0-5.0-6.0-7.0,0,0,2,0,1.0-2.0-3.0,0,1.0-2.0,0,2.0-3.0,0,1.0-2.0,0,1,0,1,youtube 
13,Q13,1,Italy,1,3,8,11,19,2,1,3,1,1.0-2.0-4.0-7.0,0,0,2,0,1,0,1,0,3,0,1.0-5.0,0,3,0,2,0
14,Q14,1,Italy,2,2,8,11,19,2,1,4,1,1.0-3.0-7.0-8.0,0,4,2,0,1.0-3.0-4.0,0,1.0-2.0-4.0,0,2,0,3.0-4.0-5.0,0,1.0-3.0-4.0,0,2,0
15,Q15,1,Italy,2,2,8,11,19,2,2,2,1,1.0-2.0-3.0-4.0-7.0,0,4,2,0,1.0-3.0-5.0,0,1.0-2.0-4.0,0,2.0-3.0-5.0-6.0,0,1.0-2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,2,0
16,Q16,1,Italy,2,2,8,11,19,2,2,1,1,1.0-2.0-.4.0-5.0-7.0-8.0,0,4,2,0,1.0-2.0-5.0,0,1.0-2.0-4.0,0,2.0-3.0-5.0-6.0,0,1.0-2.0-3.0-4.0-5.0,0,1.0-2.0-3.0-4.0,0,2,0
17,Q17,1,Italy,1,3,8,11,19,1,1,1,1,1.0-2.0-4.0-7.0,0,0,2,0,1,0,1,0,3,0,1.0-5.0,0,3,0,2,0
18,Q18,1,Italy,2,2,8,11,19,2,1,4,1,1.0-7.0-8.0,0,4,2,0,3.0-6.0,metodo ibse,1,0,6,0,2.0-3.0,0,3,0,2,0
