0,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock
1,5,3,2,1,2,2,1,5,5,1
2,4,4,2,1,1,1,2,3,5,4
3,5,5,2,2,3,4,5,3,5,3
4,5,3,2,1,1,1,1,2,2,1
5,5,3,4,3,2,4,3,5,3,1
6,5,3,2,3,2,3,3,2,5,5
7,5,5,5,3,1,2,2,5,3,1
8,5,3,3,2,1,2,2,4,5,1
9,5,3,3,1,1,2,4,3,5,5
10,5,3,2,5,2,2,5,3,5,2
11,5,3,3,2,1,2,3,4,3,2
12,5,3,1,1,1,4,1,2,5,1
13,5,3,1,2,1,4,3,3,5,4
14,5,3,5,3,2,1,5,5,2,1
15,5,3,2,1,1,2,3,4,5,2
16,1,3,2,2,3,4,3,3,5,5
17,5,3,3,1,1,1,2,4,4,1
18,5,3,3,3,3,2,2,4,4,2
19,5,3,5,4,3,4,5,5,4,4
20,5,4,3,3,2,4,2,2,4,5
21,5,3,3,2,3,4,3,2,5,5
22,5,5,1,1,3,2,2,2,5,5
23,5,3,3,2,3,3,3,4,,1
24,5,3,4,2,2,2,4,4,5,2
25,5,2,3,1,1,4,3,3,5,5
26,5,3,4,2,1,2,3,5,1,1
27,5,5,5,5,4,5,3,4,4,3
28,4,5,3,4,1,3,2,2,4,2
29,5,3,5,1,1,1,1,3,4,1
30,5,4,3,4,2,3,3,3,4,1
31,4,3,4,3,3,3,3,4,4,2
32,4,3,4,1,3,2,3,5,3,1
33,5,5,3,1,3,2,3,3,4,3
34,5,4,2,2,3,4,5,4,3,1
35,5,4,3,2,1,3,4,4,5,3
36,5,3,3,3,1,4,5,5,3,1
37,5,3,1,3,2,3,4,4,4,1
38,5,5,1,1,1,5,1,2,3,5
39,5,5,5,3,1,5,2,5,4,1
40,5,3,3,3,2,2,3,5,5,4
41,4,3,4,1,1,1,1,5,1,1
42,5,4,5,5,5,5,1,1,4,5
43,5,5,2,2,2,3,4,5,5,4
44,5,4,3,1,1,2,2,5,4,1
